pose_name,label,left_shoulder_angle,right_shoulder_angle,left_elbow_angle,right_elbow_angle,left_hip_angle,right_hip_angle,left_knee_angle,right_knee_angle,facing_direction
Chair Twist Pose,0,62,71,92,82,53,93,109,113,0.910447761
Bird Dog Pose,1,87,177,175,175,178,104,168,84,0.80620155
Standing Quad Stretch Pose,2,68,53,175,114,139,164,77,171,1
Revolved Side Angle Pose,3,76,111,151,167,100,85,165,108,0.910958904
Pyramid Pose,4,42,50,102,78,104,84,176,172,0.779816514
Goddess Pose,5,103,110,126,128,74,69,40,40,0.953488372
Standing Bow Pose,6,131,89,124,155,145,86,174,72,0.816326531
Standing Figure Four Pose,7,107,115,106,121,32,21,61,34,1
Revolved Triangle Pose,8,104,94,146,144,120,76,155,156,0.905109489
Standing Spinal Twist Pose,9,51,28,120,38,165,177,168,171,0.827586207
Boat Pose,10,75,49,129,119,69,53,155,151,0.812834225
Bow Pose,11,68,64,164,157,120,120,80,80,0.806451613
Bridge Pose,12,65,61,153,149,133,129,82,68,0.647058824
Butterfly Pose,13,76,74,142,143,39,46,33,25,1
Cactus Pose,14,86,97,110,117,105,97,44,40,0.987179487
Camel Pose,15,50,72,139,160,119,105,107,77,0.845360825
Cat Cow Pose,16,71,74,146,158,109,106,72,66,0.529411765
Cobra Pose,17,28,14,145,135,129,130,151,142,0.898148148
Corpse Pose,18,52,50,158,126,156,161,175,159,0.849673203
Crescent Lunge Twist Pose,19,62,65,126,125,161,89,166,116,0.955882353
Assisted Side Bend Pose,20,90,94,125,135,91,141,164,140,0.948717949
Extended Side Angle Pose,21,84,141,149,153,62,148,110,138,0.951612903
Gate Pose,22,169,81,174,137,115,61,69,124,0.950413223
Half Forward Bend Pose,23,123,104,121,119,67,54,153,148,0.9
Half Lord Of The Fishes Pose,24,52,93,130,125,109,127,32,74,0.823232323
Half Moon Pose,25,94,101,165,108,100,163,151,149,0.873493976
Half Split Pose,26,47,52,157,149,138,107,76,178,0.948275862
Head To Knee Forward Bend Pose,27,118,65,100,89,14,19,87,115,0.738636364
Hero Pose,28,25,8,114,109,99,95,42,50,0.75862069
Lizard Pose,29,81,99,114,85,142,23,166,55,0.97260274
Dancer Pose,30,121,103,122,173,149,84,154,87,0.898113208
Low Lunge Pose,31,118,159,73,131,97,92,121,69,0.836601307
Lunging Calf Stretch Pose,32,45,54,98,98,142,154,135,167,0.872340426
Mountain Pose,33,9,11,84,90,137,137,113,117,0.888888889
Plow Pose,34,97,90,147,113,47,48,157,174,0.415929204
King Pigeon Pose,35,160,166,68,45,114,98,28,59,0.848101266
Reverse Warrior Pose,36,156,33,156,175,107,116,83,129,0.890410959
Revolved Head To Knee Pose,37,157,96,127,104,133,37,17,148,0.981132075
Salutation Seal Pose,38,46,54,103,89,98,85,39,43,1
Side Neck Stretch Pose,39,95,24,59,105,166,163,129,146,0.986666667
Side Plank Pose,40,107,103,150,143,54,101,139,136,0.878787879
Side Reclining Leg Lift Pose,41,114,152,165,68,62,152,172,121,0.906976744
Standing Bent Over Calf Strength Pose,42,121,115,96,80,114,125,113,149,0.7
Easy Pose,43,49,46,128,122,73,70,51,47,0.957446809
Upward Salute Side Bend Pose,44,141,139,153,110,162,160,145,148,0.910447761
Big Toe Pose,45,103,160,145,108,131,106,150,70,0.882352941
Tree Pose,46,74,88,137,130,157,74,131,9,0.924050633
Triangle Pose,47,90,94,125,135,91,141,164,140,0.929411765
Upward Salute Pose,48,124,131,156,139,164,174,139,141,0.785714286
The Chair Pose,49,113,157,88,110,91,93,120,109,0.746031746
Warrior 1 Pose,50,137,159,155,98,127,132,129,167,0.614973262
Warrior 2 Pose,51,106,86,155,111,127,84,121,83,0.862348178
Warrior 3 Pose,52,144,137,62,148,141,112,154,161,0.782258065
